title,institution,published,year,cited,accred,Labeling
EFEKTIFITAS KEBIJAKAN DAERAH DALAM PENGELOLAAN HUTAN BERBASIS AGROFORESTRI,Universitas Pattimura,MAKILA Vol 19 No 1 (2025): MAKILA: Jurnal Penelitian Kehutanan27-42,2025,DOI: 10.30598/makila.v19i1.17152,Accred : Unknown,Life on Land (Ekosistem Daratan)
Pola zonasi mangrove di wilayah Rawajitu Kabupaten Tulang Bawang Provinsi Lampung,Fakultas Kehutanan Universitas Mulawarman,"ULIN: Jurnal Hutan Tropis Vol 9, No 1 (2025)74 - 80",2025,DOI: 10.32522/ujht.v9i1.11860,Accred : Unknown,Life Below Water (Ekosistem Laut)
,,,,,,Climate Action (Penanganan Perubahan Iklim)
Field Evaluation of Biochar Application on the Early Growth of Falcataria moluccana: Effects of Pyrolysis Temperatures and Biochar Application Rates,"Department of Forestry, Faculty of Agriculture, University of Lampung",Jurnal Sylva Lestari Vol. 13 No. 1 (2025): January248-263,2025,DOI: 10.23960/jsl.v13i1.1134,Accred : Unknown,Climate Action (Penanganan Perubahan Iklim)
,,,,,,Life on Land (Ekosistem Daratan)
Authentication of Processed Beef Sausage Products Using Chemometric Analysis Based on FTIR Spectrophotometry Data,"Chemistry Department, Faculty of Sciences and Mathematics, Diponegoro University","Jurnal Kimia Sains dan Aplikasi Vol 28, No 1 (2025): Volume 28 Issue 1 Year 202539-46",2025,DOI: 10.14710/jksa.28.1.39-46,Accred : Unknown,Responsible Consumption and Production (Konsumsi dan Produksi yang Bertanggung Jawab)
The contribution of eco bus technologies to environmental problem mitigation: a systematic review,Institute of Advanced Engineering and Science,"International Journal of Advances in Applied Sciences Vol 14, No 1: March 202586-100",2025,DOI: 10.11591/ijaas.v14.i1.pp86-100,Accred : Unknown,Sustainable Cities and Communities (Kota dan Pemukiman yang Berkelanjutan)
,,,,,,Climate Action (Penanganan Perubahan Iklim)
"Molecular characterization and effectiveness cross-protection of weak strains against super-infection malignant strains Cucumber mosaic virus (CMV) on cayenne pepper (Capsicum annuum L.) in Lampung, Indonesia",Universitas Lampung,"Jurnal Hama dan Penyakit Tumbuhan Tropika Vol. 25 No. 1 (2025): MARCH, JURNAL HAMA DAN PENYAKIT TUMBUHAN TROPIKA: JOURNAL OF TROPICAL PLANT PE63-75",2025,DOI: 10.23960/jhptt.12563-75,Accred : Unknown,Zero Hunger (Tanpa Kelaparan)
,,,,,,Life on Land (Ekosistem Daratan)
FACTORS INFLUENCING THE WELFARE OF RAJUANGAN FISHERMEN IN THE EASTERN COASTAL WATERS OF LAMPUNG PROVINCE,Universitas Mataram,Jurnal Perikanan Unram Vol 15 No 1 (2025): JURNAL PERIKANAN102-111,2025,DOI: 10.29303/jp.v15i1.1384,Accred : Unknown,No Poverty (Tanpa Kemiskinan)
,,,,,,Decent Work and Economic Growth (Pekerjaan Layak dan Pertumbuhan Ekonomi)
